produced_ts_epoch_ms,module,thread_id,event,call_ts_epoch_ms,custom_data
1765440692790,CameraCapture,-2910330649971625320,frame_captured,54113988,{"width":1536, "height":864}
1765440692857,CameraCapture,-2910330649971625320,frame_captured,54114055,{"width":1536, "height":864}
1765440692924,CameraCapture,-2910330649971625320,frame_captured,54114122,{"width":1536, "height":864}
1765440692991,CameraCapture,-2910330649971625320,frame_captured,54114189,{"width":1536, "height":864}
1765440693058,CameraCapture,-2910330649971625320,frame_captured,54114256,{"width":1536, "height":864}
1765440693125,CameraCapture,-2910330649971625320,frame_captured,54114323,{"width":1536, "height":864}
1765440693193,CameraCapture,-2910330649971625320,frame_captured,54114391,{"width":1536, "height":864}
1765440693266,CameraCapture,-2910330649971625320,frame_captured,54114458,{"width":1536, "height":864}
1765440693330,CameraCapture,-2910330649971625320,frame_captured,54114525,{"width":1536, "height":864}
1765440693395,CameraCapture,-2910330649971625320,frame_captured,54114592,{"width":1536, "height":864}
1765440693461,CameraCapture,-2910330649971625320,frame_captured,54114659,{"width":1536, "height":864}
1765440693527,CameraCapture,-2910330649971625320,frame_captured,54114726,{"width":1536, "height":864}
1765440693595,CameraCapture,-2910330649971625320,frame_captured,54114793,{"width":1536, "height":864}
1765440693662,CameraCapture,-2910330649971625320,frame_captured,54114860,{"width":1536, "height":864}
1765440693729,CameraCapture,-2910330649971625320,frame_captured,54114927,{"width":1536, "height":864}
1765440693796,CameraCapture,-2910330649971625320,frame_captured,54114994,{"width":1536, "height":864}
1765440693864,CameraCapture,-2910330649971625320,frame_captured,54115062,{"width":1536, "height":864}
1765440693931,CameraCapture,-2910330649971625320,frame_captured,54115129,{"width":1536, "height":864}
1765440694000,CameraCapture,-2910330649971625320,frame_captured,54115196,{"width":1536, "height":864}
1765440694064,CameraCapture,-2910330649971625320,frame_captured,54115263,{"width":1536, "height":864}
1765440694132,CameraCapture,-2910330649971625320,frame_captured,54115330,{"width":1536, "height":864}
1765440694199,CameraCapture,-2910330649971625320,frame_captured,54115397,{"width":1536, "height":864}
1765440694266,CameraCapture,-2910330649971625320,frame_captured,54115464,{"width":1536, "height":864}
